DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,7.5,7.63,1074,0.41%,1091.834241,6.869,1.0,2.4,1.0,1.0,7.5,5.3,0.280,0.0,7.5,0.116,0.0,2.4,0.116,,2.2,0.116,NOT NEEDED HERE,,,1
WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8,SUS,2,#N/A,2.5,3.27,0.008001,1.25%,0.008417412948,297003.369,1.0,2.4,1.0,1.0,2.5,1.8,12105.464,0.0,2.5,5033.955,0.0,0.8,5033.955,,0.7,5033.955,NOT NEEDED HERE,,,1
WJetsToLNu_Pt-50To100_TuneCP5_13TeV-amcatnloFXFX-pythia8,SMP,2,#N/A,20,19.67,#N/A,31.57%,#N/A,#N/A,1.0,1.0,1.0,1.0,0,14.2,#N/A,0.0,20.0,#N/A,0.0,6.4,#N/A,,5.8,#N/A,NOT NEEDED HERE,,,1
WJetsToLNu_Pt-100To250_TuneCP5_13TeV-amcatnloFXFX-pythia8,HIG,2,#N/A,500,510.27,#N/A,31.47%,#N/A,#N/A,1.0,1.0,1.0,1.0,0,355.9,#N/A,0.0,500.0,#N/A,0.0,161.0,#N/A,,144.1,#N/A,NOT NEEDED HERE,,,1
WJetsToLNu_Pt-250To400_TuneCP5_13TeV-amcatnloFXFX-pythia8,HIG,2,#N/A,110,108.74,#N/A,30.23%,#N/A,#N/A,1.0,1.0,1.0,1.0,0,78.3,#N/A,0.0,110.0,#N/A,0.0,35.4,#N/A,,31.7,#N/A,NOT NEEDED HERE,,,1
WJetsToLNu_Pt-400To600_TuneCP5_13TeV-amcatnloFXFX-pythia8,HIG,2,#N/A,12,1.97,#N/A,29.14%,#N/A,#N/A,1.0,1.0,1.0,1.0,0,8.5,#N/A,0.0,12.0,#N/A,0.0,3.9,#N/A,,3.5,#N/A,NOT NEEDED HERE,,,1
WJetsToLNu_Pt-600ToInf_TuneCP5_13TeV-amcatnloFXFX-pythia8,HIG,2,#N/A,4,3.90,#N/A,29.01%,#N/A,#N/A,1.0,1.0,1.0,1.0,0,2.8,#N/A,0.0,4.0,#N/A,0.0,1.3,#N/A,,1.2,#N/A,NOT NEEDED HERE,,,1
WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8,SMP,2,#N/A,200,192.29,50100,9.95%,78105.20447,2.561,1.0,1.0,1.0,1.0,0,142.4,0.043,0.0,200.0,0.043,0.0,64.4,0.043,,57.6,0.043,NOT NEEDED HERE,,,1
WJetsToLNu_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8,SMP,2,#N/A,200,171.67,8426,26.87%,39383.79833,5.078,1.0,1.0,1.0,1.0,0,142.4,0.086,0.0,200.0,0.086,0.0,64.4,0.086,,57.6,0.086,NOT NEEDED HERE,,,1
WJetsToLNu_2J_TuneCP5_13TeV-amcatnloFXFX-pythia8,SMP,2,#N/A,100,98.36,3172,34.74%,34034.81544,2.938,1.0,1.0,1.0,1.0,0,71.2,0.050,0.0,100.0,0.050,0.0,32.2,0.050,,28.8,0.050,NOT NEEDED HERE,,,1
WBJetsToLNu_Wpt-100to200_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,8,,5.97E+00,,5.97E+00,,,,,,,,,,,,,,,,,,VHbb,,,
WBJetsToLNu_Wpt-200toInf_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,2,,8.74E-01,,8.74E-01,,,,,,,,,,,,,,,,,,VHbb,,,
WJetsToLNu_BGenFilter_Wpt-100to200_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,30,,2.69E+01,,2.69E+01,,,,,,,,,,,,,,,,,,VHbb,,,
WJetsToLNu_BGenFilter_Wpt-200toInf_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,5,,3.79E+00,,3.79E+00,,,,,,,,,,,,,,,,,,VHbb,,,
ZJets,,2,#N/A,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,NOT NEEDED HERE,,,1
ZJetsToNuNu_HT-100To200_13TeV-madgraph,SUS,2,#N/A,25,23.70,302.8,0.05%,303.4205599,82.394,1.0,1.0,1.0,1.0,0,17.8,1.397,0.0,25.0,1.397,0.0,8.1,1.397,,7.2,1.397,NOT NEEDED HERE,"For ZJets samples with HT<400 GeV, if possible, can we increase the number of events by a factor of 2.5, compared to what was produced in earlier campaigns (Summer16, Fall17, Autumn18)? ",,1
ZJetsToNuNu_HT-200To400_13TeV-madgraph,SUS,2,#N/A,25,23.28,92.59,0.09%,92.92040388,269.047,1.0,1.0,1.0,1.0,0,17.8,4.560,0.0,25.0,4.560,0.0,8.1,4.560,,7.2,4.560,NOT NEEDED HERE,,,1
ZBJetsToNuNu_Zpt-100to200_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,70,,5.93,,5.93,,,,,,,,,,,,,,,,,,VHbb,,,
ZBJetsToNuNu_Zpt-200toInf_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,8,,0.6075,,0.6075,,,,,,,,,,,,,,,,,,VHbb,,,
ZJetsToNuNu_BGenFilter_Zpt-100to200_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,5,,2.162,,2.162,,,,,,,,,,,,,,,,,,VHbb,,,
ZJetsToNuNu_BGenFilter_Zpt-200toInf_TuneCP5_13TeV-madgraphMLM-pythia8_newgridpack,HIG,2,#N/A,1,,0.3151,,0.3151,,,,,,,,,,,,,,,,,,VHbb,,,
DiBoson,,2,#N/A,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,NOT NEEDED HERE,,,1
